city,timestamp,temperature,season
New York,2010-01-01,1.755653546908762,winter
New York,2010-01-02,-6.173499974410923,winter
New York,2010-01-03,-2.6933391177938604,winter
New York,2010-01-04,-4.2832674669108775,winter
New York,2010-01-05,2.6643505353525443,winter
New York,2010-01-06,0.9838611663663615,winter
New York,2010-01-07,-8.745285987615821,winter
New York,2010-01-08,2.43372133519133,winter
New York,2010-01-09,7.118782415836601,winter
New York,2010-01-10,10.394462273351753,winter
New York,2010-01-11,-3.3429616693120834,winter
New York,2010-01-12,-0.7465556658102007,winter
New York,2010-01-13,1.2158311411566067,winter
New York,2010-01-14,-3.8427431928872506,winter
New York,2010-01-15,-3.600782417430692,winter
New York,2010-01-16,7.316537394797141,winter
New York,2010-01-17,-4.6612554801396655,winter
New York,2010-01-18,5.049210815370167,winter
New York,2010-01-19,-0.1541748372396923,winter
New York,2010-01-20,1.932225706909869,winter
New York,2010-01-21,-5.4170288023727995,winter
New York,2010-01-22,-3.934518095368518,winter
New York,2010-01-23,1.393339296114384,winter
New York,2010-01-24,7.474002451692333,winter
New York,2010-01-25,4.850657469051734,winter
New York,2010-01-26,-3.4975039004096353,winter
New York,2010-01-27,-8.672597585284503,winter
New York,2010-01-28,-0.26981558253935795,winter
New York,2010-01-29,-0.3320505178370708,winter
New York,2010-01-30,-2.1743624437954256,winter
New York,2010-01-31,-0.7760764375914486,winter
New York,2010-02-01,2.2477246115451535,winter
New York,2010-02-02,5.40479920529176,winter
New York,2010-02-03,0.6481862128084993,winter
New York,2010-02-04,3.241389430995285,winter
New York,2010-02-05,-8.3720236824693,winter
New York,2010-02-06,4.516708316320882,winter
New York,2010-02-07,-6.086612074711563,winter
New York,2010-02-08,-2.4753572786834916,winter
New York,2010-02-09,3.6811605659796536,winter
New York,2010-02-10,-0.34492562964300477,winter
New York,2010-02-11,-5.003745215987591,winter
New York,2010-02-12,2.388254932546001,winter
New York,2010-02-13,-6.106098316703113,winter
New York,2010-02-14,1.1832436726388291,winter
New York,2010-02-15,-4.172295989029683,winter
New York,2010-02-16,-2.7490542009977026,winter
New York,2010-02-17,-5.953216596118748,winter
New York,2010-02-18,0.6198432307212715,winter
New York,2010-02-19,-2.3881940724756925,winter
New York,2010-02-20,3.5346464207132073,winter
New York,2010-02-21,9.554147043809802,winter
New York,2010-02-22,1.2875572984576946,winter
